"age","citations_t0","citations_t5","female","grant_success","normalised_score"
10,38,58,0,1,-30.8
9,18,0,0,1,-14.7
12,37,31,0,1,-16.2
9,47,62,0,0,22.4
13,41,41,0,0,10.4
8,17,13,0,0,8.3
5,17,0,0,0,-6.7
6,49,72,0,1,3.7
9,34,23,1,1,15.9
10,29,32,1,1,-9.9
7,31,42,0,0,3.8
5,27,36,0,1,-17.8
7,16,13,0,0,27.1
11,45,43,1,0,-25.6
11,51,62,0,1,-22.3
9,27,23,0,1,0.7
14,61,49,0,1,-39.2
5,24,0,0,0,19.7
5,10,0,0,1,-29.8
11,20,8,0,0,-1.8
10,53,53,0,1,-10.5
7,28,43,1,0,-3.2
10,39,42,1,0,-11.7
12,36,62,0,1,-25.1
7,41,64,0,0,24.3
10,47,49,0,0,26.7
10,30,29,0,1,1.5
12,23,7,0,1,-13.9
4,7,0,0,0,19.5
8,32,37,0,1,-22.8
11,22,0,0,1,2
7,41,51,0,0,39.9
12,59,72,0,0,1.9
10,61,118,1,0,5.5
12,45,34,1,1,-15.4
7,41,32,0,0,42.9
10,50,47,1,1,-27.7
4,28,41,0,0,16.9
11,46,24,0,0,-13.9
11,20,0,0,1,9.8
13,32,28,1,0,-12.9
10,28,47,0,1,-39.2
9,65,113,1,0,-3.5
6,12,11,0,1,-22.6
8,48,52,1,1,-12.2
5,16,8,0,1,-8.2
8,22,67,0,0,-11.9
10,44,75,1,1,-31.3
5,50,84,0,0,12.1
12,39,76,1,0,27.6
7,53,73,1,1,-41.2
13,41,29,0,0,21.6
11,55,64,0,0,30
9,13,0,0,0,-1.8
12,47,64,0,0,56
7,16,0,0,1,16.9
9,33,24,0,1,-4.8
7,26,45,0,1,-42.9
12,45,77,0,1,-31
12,36,43,0,1,-38
11,77,125,0,0,26.7
8,11,0,0,0,8.8
9,24,39,0,1,-17.2
17,22,0,0,1,-52.5
8,28,5,1,0,0.4
11,41,61,0,1,0.5
11,9,0,0,1,-5
13,30,50,0,0,54.5
7,37,25,0,0,27.2
10,0,0,0,1,-51.3
5,26,31,0,0,1.6
8,21,21,0,1,10.1
11,42,77,0,1,-14.3
14,23,0,1,1,-40
7,39,46,0,0,16.3
9,50,58,0,0,1
14,33,57,0,0,25.4
6,39,67,0,0,9.2
6,30,26,0,0,29.3
13,55,45,0,0,3.3
8,32,52,0,0,45.1
7,48,76,0,0,8.1
3,35,59,0,1,1.2
10,20,4,0,0,12
13,54,65,0,1,-23.8
9,46,68,0,1,-53.4
14,35,55,0,1,-30.3
12,30,36,0,0,23.6
10,37,53,0,1,-38.8
12,28,0,0,1,-35.5
11,24,21,0,0,27.4
10,41,67,0,1,-41
6,22,12,1,0,5.7
10,49,53,0,1,-7.2
7,37,55,0,1,15.7
8,15,18,0,0,17.6
5,23,9,0,0,0.4
7,60,77,0,0,-13.6
9,17,14,0,1,-18.4
13,6,8,0,1,-27.6
9,24,18,0,1,-25.1
10,29,32,0,1,-21.4
10,19,0,0,1,-8.3
7,25,26,0,1,-4.2
8,24,35,0,0,24.5
5,27,33,0,0,40.2
9,32,12,1,1,9.8
7,45,63,0,0,34
10,42,43,0,1,-22.7
9,15,26,0,1,-44.1
8,43,65,0,1,-2
9,32,13,0,1,-21.5
7,10,0,0,1,-19
10,38,31,0,1,-20.5
8,14,35,1,1,-44.5
13,73,125,1,1,10.3
5,44,62,0,0,30.1
10,33,60,0,1,-14.2
7,42,70,1,1,-22.5
9,39,64,0,0,20.4
8,43,44,1,0,-4.1
11,43,43,0,1,-11.6
4,0,0,0,1,26.8
10,52,56,0,0,-12.8
6,18,9,0,0,-10.9
11,18,0,0,1,12.4
11,29,41,0,0,6.3
6,42,43,0,1,5.7
7,12,8,0,0,2.5
10,38,45,1,0,19.4
9,19,12,0,1,24
6,8,25,0,0,26.5
6,4,0,0,0,10
16,22,40,1,1,-39.8
8,26,84,0,0,39.5
14,42,8,0,1,-4.3
5,26,12,0,0,6.2
13,32,63,0,1,1.3
11,36,38,1,0,29.1
10,41,26,1,1,-5.2
7,39,37,1,0,-2.8
8,18,21,1,1,-39.9
5,38,61,0,1,-29.1
7,19,35,0,1,-14.3
9,24,0,1,1,-11.7
10,21,36,0,1,19.6
8,37,6,0,1,-3.8
7,34,56,0,0,15.2
11,25,1,0,1,-15.1
8,35,25,0,1,-13
10,15,37,1,0,-5.3
10,18,0,1,0,16.4
10,45,109,1,0,62
14,46,43,0,1,-29.3
4,40,115,1,0,15.4
8,60,68,0,0,21.5
12,51,99,1,0,3.1
7,26,18,0,0,13.8
11,52,55,0,1,5.1
10,31,23,1,0,-19.7
12,50,69,0,1,-27.6
8,52,56,0,1,-24.2
11,56,36,1,0,-4.5
3,31,29,0,0,16.4
9,29,27,0,0,72.1
11,42,49,0,0,8.7
9,24,48,1,0,-3.4
13,36,0,0,1,-35.4
15,30,5,0,0,22.5
9,30,6,1,0,10.5
8,47,48,0,0,11.5
7,55,50,0,0,-24.7
11,35,50,1,1,-0.9
14,46,85,1,1,-25.4
7,17,26,0,1,-7.5
6,43,77,0,0,23.6
14,26,46,0,1,-10.7
9,53,55,0,0,-1.6
10,52,52,0,1,-25.4
8,33,35,0,0,-4.7
12,38,2,0,1,-12.4
9,29,25,0,1,-24
10,37,36,0,0,25
12,29,35,1,1,-27
6,26,42,1,1,-32.4
3,11,28,0,0,26.6
10,50,47,0,1,-25.1
7,6,25,0,1,-51.7
7,42,63,0,1,-14.6
8,36,54,0,0,54.6
4,46,30,0,0,24.2
9,14,8,0,0,29.6
15,48,12,0,1,-31.3
8,24,8,0,0,9.1
7,21,0,0,0,7.1
4,0,0,0,1,35.4
10,38,47,0,0,11.8
9,18,0,0,1,0
10,21,3,0,0,31.1
10,32,44,0,0,36.9
6,35,46,0,1,-18.1
4,35,56,0,0,0.1
10,29,16,0,0,3.8
8,31,54,0,1,5.1
9,24,30,1,1,-37.2
6,13,0,0,1,15.8
10,17,4,1,1,-32.3
8,35,48,0,0,26.3
6,46,41,0,0,20.8
10,39,58,0,0,70.8
12,17,7,0,1,-40.7
6,22,8,0,0,-22.1
5,57,64,0,0,41.8
7,50,40,0,0,49.8
11,3,0,0,1,-21
9,48,49,0,1,-25.6
11,20,28,0,1,4.3
13,16,5,0,1,-35.9
7,32,13,0,0,33.2
15,34,23,1,1,-28.3
11,36,76,0,0,-4.4
9,29,34,0,0,12.7
9,28,22,1,1,0.5
9,40,14,0,1,14.7
7,45,38,0,1,7.5
8,6,0,0,1,2.6
8,35,55,0,0,-8.7
5,31,0,0,0,29.6
12,30,48,0,0,-4
12,50,70,1,0,-18
14,35,32,0,1,3.5
12,50,46,0,0,-4.6
12,21,27,1,1,-28.3
15,44,75,0,0,55.1
9,36,31,1,1,-32.3
6,11,0,0,1,-12.7
10,21,0,0,1,-15.9
10,22,0,1,1,-18.2
10,28,27,0,1,-13.4
15,24,0,0,1,-12.6
14,31,68,0,1,-13.3
8,47,14,1,0,-18.2
10,24,30,0,0,17.4
12,27,0,0,1,-22.1
9,25,22,0,0,9.8
11,42,30,1,0,7.8
13,46,59,0,1,-52.8
12,30,18,0,1,-21.5
4,15,33,0,0,12.2
12,32,0,0,1,-49.8
7,30,42,0,0,9.3
5,24,33,0,1,-5.6
12,24,5,0,0,-2.6
12,50,74,0,0,23
5,18,0,0,0,20
7,9,0,0,1,-14.3
11,57,70,0,0,42.4
11,13,4,0,1,-36.9
9,31,45,0,0,12
8,48,82,1,0,8.8
9,50,59,1,0,5.3
11,24,36,0,0,16.7
13,44,55,1,1,-44.6
9,60,65,1,0,-1.3
12,40,39,0,0,15.6
9,37,44,0,1,7.6
11,28,43,0,1,-57.3
12,47,104,1,0,-21.9
13,32,33,0,1,-44.9
4,20,8,0,1,14
11,26,3,1,0,13.3
4,30,43,0,0,32
5,23,5,0,0,-9.3
6,19,44,0,0,16.2
10,23,41,0,1,14.5
8,38,41,1,0,9.9
10,0,0,0,1,-20.4
13,39,38,0,0,-2.4
10,40,64,1,1,-18.6
9,3,0,0,1,13
14,18,29,0,1,4.8
8,38,32,0,0,9.1
10,32,35,0,0,16.7
9,17,51,0,1,3.4
12,39,59,0,1,-13.4
9,39,57,0,1,-30.6
11,45,104,0,1,-40.5
3,5,0,0,0,4.2
8,20,21,1,1,8.1
8,33,49,0,1,24
6,48,87,0,0,32
11,46,39,1,1,-20.6
4,38,27,0,1,-0.9
13,64,98,1,0,-3.4
9,25,36,0,1,-70
9,2,40,0,1,-11.2
7,41,57,0,0,37.4
8,26,27,1,1,-35.6
11,26,16,1,1,-0.3
11,53,72,0,0,-1.4
12,41,44,0,1,2
13,46,85,0,1,-21.1
11,39,39,0,1,-20.4
12,38,64,1,0,25.8
12,49,43,0,0,18
11,51,39,0,1,-21.4
9,53,92,0,0,12.4
10,51,105,0,1,-17.7
15,56,41,0,0,15.2
14,58,118,0,1,-7.6
7,46,118,0,0,24.6
5,47,58,0,0,44.5
10,27,16,0,1,13.8
12,12,18,0,1,-25.9
7,23,31,0,1,-23
10,33,0,0,0,2.4
14,35,39,0,1,-17.6
11,8,0,0,1,-48.7
8,42,9,0,0,4.9
8,31,40,0,0,49.6
13,38,8,0,0,-34.2
10,36,50,0,0,16.6
7,36,77,0,0,4.2
13,13,0,0,1,-3.9
12,14,18,0,1,-25.9
10,37,44,0,0,49.7
2,41,50,1,0,-19.9
7,30,25,0,1,3.3
4,9,0,1,1,-14
9,9,0,0,1,-29.6
12,31,50,0,1,-35.4
7,37,13,0,0,1.1
12,36,50,1,1,-46.6
8,36,12,0,0,-18.2
6,36,36,0,1,-1.2
5,31,50,0,1,-5.5
11,62,77,0,1,-45.5
7,39,36,0,1,2.1
11,47,72,0,1,-9.3
9,35,17,0,1,-5.6
12,44,65,0,1,-34.6
7,50,61,0,0,5.8
6,28,11,0,0,-6.4
10,54,70,0,0,30.5
13,41,34,0,1,9
6,32,46,1,0,29.9
8,31,26,0,1,-6.7
11,45,38,0,0,7.6
6,23,17,0,0,23.5
8,8,0,0,1,-17.9
8,21,24,0,0,49.3
9,25,0,0,0,-6.1
7,25,43,0,0,-0.8
9,32,58,1,0,25.4
12,56,65,1,1,-25.2
12,40,62,0,1,-29.1
8,49,64,0,1,-6.9
10,30,29,1,0,22.1
15,43,38,0,0,21.3
12,22,0,0,1,1.5
13,49,29,1,1,-26.3
6,16,30,0,1,-20
9,62,99,1,0,15.9
11,20,0,0,1,-31.1
6,41,45,0,1,-1.9
11,37,75,1,0,20
4,44,28,0,0,29.7
11,45,54,0,1,8
10,23,0,0,1,-14.8
10,23,32,1,0,1.5
7,34,32,0,1,-21.5
6,33,28,0,0,-11.6
15,44,67,1,1,7.4
13,24,20,0,1,-39.7
9,58,88,0,0,72.6
10,47,82,0,1,-34.6
7,19,13,0,0,18.5
1,30,46,0,1,21.7
6,18,59,0,0,34.9
6,19,49,0,0,32.2
3,8,14,0,0,6.4
7,44,65,0,1,0.3
8,36,26,0,0,6.7
12,34,20,0,1,-32
9,42,36,0,1,-20.4
11,34,62,0,1,-21.5
13,46,51,0,0,8.3
9,13,3,0,1,3
9,41,67,0,1,-1.7
9,74,84,0,1,-23.8
11,38,31,1,0,6.4
8,36,84,0,1,0.8
9,14,4,0,0,10.1
7,21,17,1,1,-6.9
11,53,125,0,0,-1.3
9,35,34,0,0,0.8
5,22,19,0,1,-12.2
10,23,37,0,1,-26
13,31,26,0,0,25.9
7,23,0,0,1,31.1
10,54,71,0,1,-31.7
8,26,17,0,0,-10.8
11,43,64,0,0,10.8
2,29,42,0,0,43.7
10,47,63,0,1,-5.2
6,49,77,0,0,10.7
12,47,43,1,1,-48
13,49,85,0,0,11.1
12,37,48,1,0,36.9
7,9,21,0,1,-54
10,40,64,1,0,-1.4
9,38,26,0,0,34.5
13,44,22,0,0,21
15,24,28,0,1,-12.4
9,3,0,1,1,-58.6
6,10,17,0,0,8
10,30,35,0,1,2.7
14,15,0,0,0,35.5
7,21,15,0,1,-15.1
11,32,0,0,1,-16.1
6,3,0,0,1,-30.7
9,25,36,0,0,19.6
7,49,48,0,0,18.2
8,41,37,0,0,7.6
6,31,16,0,1,-17.5
10,40,57,0,0,41.2
9,33,32,0,1,-30.8
15,38,39,0,1,11.8
14,42,26,0,1,19.8
7,40,71,0,0,0.4
18,49,82,0,1,-28.7
9,18,0,0,1,-0.3
10,61,69,0,1,-23.8
12,39,47,1,1,-24.5
8,38,31,1,0,17.2
11,35,52,0,1,-38.4
9,38,45,0,1,-18.9
7,29,40,0,1,-7
12,30,26,0,1,-21.2
8,38,35,1,0,25.3
4,22,26,0,0,22.6
10,28,18,0,0,27
8,39,44,0,0,20.4
17,55,49,0,1,22.1
11,54,42,0,1,-12.9
6,32,14,0,0,15.5
8,27,42,1,0,12.6
7,40,26,1,0,19.6
6,46,88,1,0,21
2,34,41,0,1,8.1
11,31,20,0,1,-1.7
9,36,54,1,1,-45.7
12,43,48,0,0,17.4
11,56,39,0,1,-15.6
10,22,3,0,0,29.7
11,52,77,1,0,10.3
4,15,0,0,1,15.2
6,39,8,1,1,-30.2
15,19,32,0,1,17.3
6,37,64,0,0,2.9
8,46,73,0,0,10.2
10,15,1,0,1,-42.6
10,53,58,0,0,18.8
9,41,17,0,1,-24
10,37,12,0,1,-34.5
8,25,38,1,0,-0.1
1,16,55,1,0,-6
11,36,44,0,0,-2.2
7,37,0,1,0,12.1
5,32,44,0,0,5.6
8,14,13,0,1,-16
6,37,12,1,0,-0.1
10,25,31,1,0,-3.7
9,55,70,0,0,22.3
14,75,103,0,1,-9.2
15,37,35,0,1,-3.8
9,31,17,0,1,6.7
13,24,9,0,1,-23.4
12,34,77,0,1,-9.5
15,70,58,0,0,64.7
